,url,content_dec
49,https://sputnikglobe.com//20220511/top-tennis-stars-in-favour-of-penalising-wimbledon-over-ban-on-russian-players-report-says-1095424712.html,
50,https://sputnikglobe.com//20230912/niger-accuses-france-of-preparing-a-military-intervention-1113292671.html,
51,https://sputnikglobe.com//20221218/ukraine-conflict-fears-over-alleged-russian-threat-boost-us-capacity-to-produce-weapons-report---1105568832.html,
52,https://sputnikglobe.com//20220922/ukraine-has-been-in-state-of-lawlessness-since-2014-lavrov-says-1101094810.html,
53,https://sputnikglobe.com//20220428/russia-cuts-gas-to-poland-and-bulgaria-after-refusal-to-pay-us-threatens-pacific-war-1095112535.html,
54,https://sputnikglobe.com//20220814/water-woes-force-ketchup-prices-up-as-drought-reduces-california-tomato-crop-1099573996.html,
55,https://sputnikglobe.com//20241120/trump-might-seek-wider-deal-with-iran-despite-hawkish-rhetoric---ex-israeli-prime-minister-1120941997.html,
56,https://sputnikglobe.com//20221204/hulk-smashed-mark-ruffalo-blasted-online-after-calling-for-twitter-to-be-censored-1105036275.html,
57,https://sputnikglobe.com//20230702/watch-russian-lancet-kamikaze-drone-destroy-ukrainian-tank-and-electronic-warfare-station-1111619203.html,
58,https://sputnikglobe.com//20230707/eu-parliament-council-of-eu-agree-on-bill-to-boost-ammunition-production-1111714171.html,
59,https://sputnikglobe.com//20230918/lavrov-and-chinese-foreign-minister-wang-yi-hold-talks-in-moscow-1113447348.html,
60,https://sputnikglobe.com//20221005/putin-approves-ratification-of-accession-treaties-with-dpr-lpr-kherson-and-zaporozhye-regions-1101520356.html,
61,https://sputnikglobe.com//20240204/eu-authorities-demonize-russia-to-distract-from-economic-distress-1116582353.html,
62,https://sputnikglobe.com//20231003/poll-reveals-voters-unenthusiastic-about-trump-biden-rematch-in-2024-1113867379.html,
63,https://sputnikglobe.com//20220330/biden-underscores-decades-of-foreign-policy-this-man-cannot-remain-in-power-1094308696.html,
64,https://sputnikglobe.com//20220325/romanian-president-says-energy-sanctions-on-russia-currently-impossible-1094183317.html,
65,https://sputnikglobe.com//20220517/gasoline-now-averages-over-6-a-gallon-in-california-1095587938.html,
66,https://sputnikglobe.com//20220511/finnish-defence-committee-calls-nato-best-solution-as-popular-support-soars-to-76-1095421334.html,
67,https://sputnikglobe.com//20220322/icrc-willing-to-facilitate-evacuation-via-humanitarian-corridors-in-ukraine-1094079531.html,
68,https://sputnikglobe.com//20230618/putin-thanks-volunteers-in-special-military-operation-zone-1111260590.html,
69,https://sputnikglobe.com//20230714/us-to-supply-significant-military-equipment-soon---greeces-pm-mitsotakis-1111866973.html,
70,https://sputnikglobe.com//20231210/majority-of-germans-disapprove-of-scholzs-performance-amid-worsening-economic-struggles---poll-1115504029.html,
71,https://sputnikglobe.com//20230823/swiss-probe-firm-over-deal-to-sell-ukraine-bound-leopard-tanks-1112813604.html,
72,https://sputnikglobe.com//20220526/dhs-sec-tells-immigrants-do-not-come-to-the-border-after-us-streamlines-process-for-ukrainians-1095782861.html,
73,https://sputnikglobe.com//20230911/rubles-share-in-russias-exports-tops-50-percent-as-dedollarization-gains-momentum-1113276778.html,
74,https://sputnikglobe.com//20220618/bojos-allies-slam-conspiracy-bs-as-tory-pms-decry-snub-of-red-wall-talks-over-kiev-visit-1096424933.html,
75,https://sputnikglobe.com//20221205/spanish-police-seized-envelopes-to-ukrainian-missions-presumably-with-animal-eyes-kiev-1105053462.html,
76,https://sputnikglobe.com//20220530/another-hunter-laptop-denier-tapped-for-bidens-disinformation-board-1095881559.html,
77,https://sputnikglobe.com//20240914/attack-on-kursk-region-can-be-considered-as-prerequisite-for-nuclear-strike---medvedev-1120146132.html,
78,https://sputnikglobe.com//20221028/us-set-to-delay-russian-oil-price-cap-announcement-until-after-midterms-reports-suggest-1102801652.html,
79,https://sputnikglobe.com//20230706/us-may-approve-cluster-munitions-to-ukraine-this-week-despite-russian-objections-1111690396.html,
80,https://sputnikglobe.com//20220813/venezuelas-pdvsa-reportedly-has-zero-interest-in-crude-for-debt-deal-with-europe-seeks-oil-swaps-1099543028.html,
81,https://sputnikglobe.com//20221215/yemen-vote-scrapped-us-missiles-in-ukraine-world-cup-flights-canceled-1105483541.html,
82,https://sputnikglobe.com//20220304/mike-pompeo-calls-for-diplomatic-recognition-of-taiwan-as-free-and-sovereign-country-1093572675.html,
83,https://sputnikglobe.com//20220613/macron-asks-french-defence-ministry-to-revise-military-spending-until-2025-1096276115.html,
84,https://sputnikglobe.com//20230911/natos-steadfast-defender-drills-near-russia-signal-blocs-shift-to-war-footing-1113292863.html,
85,https://sputnikglobe.com//20240926/israel-will-falter-or-fall-us-preps-for-middle-east-war-days-after-bidens-unga-speech-1120292193.html,
86,https://sputnikglobe.com//20231113/untold-heroism-of-russias-radiological-chemical-and-biological-defense-troops-1114908415.html,
87,https://sputnikglobe.com//20221015/meme-wars-in-ukraine-sec-on-attack-durham-trial-uk-political-chaos-1101859948.html,
88,https://sputnikglobe.com//20240330/bidens-financial-triumph-drowned-by-gazas-bloodshed-and-plummeting-approval-1117643069.html,
89,https://sputnikglobe.com//20230711/bae-systems-uk-govt-sign-360mln-agreement-on-production-of-ammunition-1111807849.html,
90,https://sputnikglobe.com//20220608/live-updates-turkey-reportedly-sets-10-conditions-for-sweden-and-finland-if-they-want-to-join-nato-1096108951.html,
91,https://sputnikglobe.com//20220419/us-seeks-to-seize-superyacht-amadea-believed-to-be-owned-by-russian-gold-tycoon-in-fiji-1094878348.html,
92,https://sputnikglobe.com//20221111/russian-partial-pull-back-from-western-kherson-what-does-this-mean--1103994948.html,
93,https://sputnikglobe.com//20240204/germany-ukraine-may-sign-bilateral-security-agreement-on-february-16---reports-1116580820.html,
94,https://sputnikglobe.com//20220608/abramovich-reportedly-trying-to-challenge-eus-ukraine-related-sanctions-against-him-1096127796.html,
95,https://sputnikglobe.com//20220305/russian-direct-investment-fund-wins-russia-ipo-awards-as-best-institutional-investor-1093620453.html,
96,https://sputnikglobe.com//20231011/belgium-to-create-18bln-aid-fund-for-ukraine-using-russias-assets-1114093392.html,
97,https://sputnikglobe.com//20230130/stoltenbergs-asia-trip-highlights-nato-appetite-for-global-anti-china-anti-russia-bloc-scholars-1106833507.html,
98,https://sputnikglobe.com//20220430/russian-mod-dam-in-nikolaev-reservoir-mined-by-ukrainian-nationalists-to-frame-russia-1095172506.html,
99,https://sputnikglobe.com//20220228/russia-didnt-start-hostilities-is-ending-them-after-8-years-of-war-against-donbass-civilians-mod-1093449218.html,
100,https://sputnikglobe.com//20220909/european-union-to-make-easy-access-to-visas-only-for-several-groups-of-russians-1100612242.html,
101,https://sputnikglobe.com//20230411/pentagon-leak-indicates-us-allies-not-falling-in-line-with-washingtons-all-in-ukraine-policy-1109365785.html,
102,https://sputnikglobe.com//20230922/polands-move-to-stop-arms-supplies-to-ukraine-deals-real-blow-to-kiev-1113580317.html,
103,https://sputnikglobe.com//20221216/video-of-russian-icbm-being-loaded-into-silo-makes-splash-among-brits-1105509285.html,
104,https://sputnikglobe.com//20220225/russian-paratroopers-take-control-of-chernobyl-nuclear-power-plant-mod-says-1093358774.html,
105,https://sputnikglobe.com//20230711/dethroning-the-dollar-will-take-more-than-minting-new-brics-currency-1111813027.html,
106,https://sputnikglobe.com//20240711/how-putins-whirl-of-diplomatic-engagement-left-western-elite-biting-the-dust-1119339723.html,
107,https://sputnikglobe.com//20230923/top-kiev-intelligence-officer-says-musk-turned-off-starlink-over-crimea-1113611861.html,
108,https://sputnikglobe.com//20240914/biden-admin-pleads-lawmakers-to-include-58bn-ukraine-aid-extension-in-spending-bill-1120143623.html,
109,https://sputnikglobe.com//20220417/cmon-hombre-bidens-approval-among-hispanics-scrapes-rock-bottom-poll-1094837613.html,
110,https://sputnikglobe.com//20220730/skyrocketing-inflation-energy-consumption-cuts-endanger-european-solidarity-reports-say-1097951627.html,
111,https://sputnikglobe.com//20231121/president-bidens-unhinged-op-ed-pledges-continued-confrontation-against-russia-and-hamas-1115088985.html,
112,https://sputnikglobe.com//20230810/russias-rostec-quadruples-armored-vehicle-production--1112500006.html,
113,https://sputnikglobe.com//20220412/finlands-construction-industry-facing-unprecedented-problems-1094692596.html,
114,https://sputnikglobe.com//20220617/russian-reporter-releases-footage-of-american-mercenary-captured-near-kharkov-1096416384.html,
115,https://sputnikglobe.com//20230322/supply-of-depleted-uranium-shells-to-kiev-could-lead-to-global-tragedy-state-duma-speaker-says-1108669556.html,
116,https://sputnikglobe.com//20230418/battle-of-bakhmut-intensifies-heavy-clashes-breakout-in-sudan-1109604816.html,
117,https://sputnikglobe.com//20220225/russian-mfa-business-as-usual-in-relations-with-us-will-no-longer-work-1093378446.html,
118,https://sputnikglobe.com//20221221/president-putin-speaks-at-expanded-meeting-of-russian-defense-ministrys-collegium-1105658432.html,
119,https://sputnikglobe.com//20230719/watch-russian-lancet-kamikaze-drone-destroy-ukrainian-air-defenses-1111985585.html,
