url,date
https://cedmohub.eu/sk/navrh-zakona-o-zivotnom-partnerstve-nie-je-v-rozpore-s-programovym-vyhlasenim-vlady/,2022-09-05
https://rebaltica.lv/2024/06/30930/,2024-06-17
https://www.tjekdet.dk/indsigt/her-er-de-mest-co2-udledende-lande,2022-11-24
https://defacto-observatoire.fr/Medias/Factuel/Fact-checks/Cette-video-ne-montre-pas-la-mort-de-trois-soldats-de-l-Otan/,2022-07-12
https://www.knack.be/factcheck/factcheck-nee-16-amerikaanse-staten-schaffen-mondmaskerplicht-niet-af,2021-04-16
https://admohub.eu/hr/media/afp/factchecks/pristrana-studija-o-sigurnosti-cjepiva-protiv-covid-a-19/,2024-01-01
https://defacto-observatoire.fr/Medias/Les-Surligneurs/Fact-checks/La-reforme-de-notre-systeme-de-retraite-serait-une-exigence-de-l-Union-europeenne-en-contrepartie-du-plan-de-relance/,2023-02-06
https://gadmo.eu/pistorius-sagte-im-interview-wir-mssen-wehrhaft-sein/,2023-11-12
https://cedmohub.eu/sk/podla-infovojny-boli-protesty-v-gruzinsku-zinscenovane-zapadom/,2023-03-30
https://factcheck.vlaanderen/factcheck/deze-brief-met-corona-desinformatie-komt-niet-van-uz-gent,2020-12-28
https://gadmo.eu/barcode-ziffern-geben-auskunft-ber-antragsteller/,2023-12-27
https://www.knack.be/factcheck/factcheck-gerenoveerde-woningen-verbruiken-twee-keer-meer-dan-nieuwbouwwoningen,2019-01-01
https://www.faktisk.no/artikler/z5xm6/nei-det-er-fortsatt-ikke-grafenoksid-i-koronavaksinen,2023-04-14
https://gadmo.eu/natron-schtzt-nicht-vor-krebs/,2022-12-09
https://defacto-observatoire.fr/Medias/Factuel/Fact-checks/Un-peage-urbain-a-Paris-a-partir-du-1er-juillet-Non-il-s-agit-d-un-poisson-d-avril/,2023-04-24
https://factcheck.vlaanderen/factcheck/huidige-klimaat-opwarming-komt-door-co2-uitstoot,2024-07-17
https://www.tjekdet.dk/indsigt/meta-tjener-millioner-paa-svindelannoncer,2024-03-19
https://defacto-observatoire.fr/Medias/20-Minutes/Fact-checks/Arnaques-Non-Disneyland-Paris-ne-met-pas-reellement-en-vente-des-billets-a-1-95-euro/,2023-04-18
https://www.thejournal.ie/is-apeel-edipeel-bad-for-you-6053914-Apr2023/,2023-04-28
https://factcheck.vlaanderen/factcheck/hondeneigenaars-minder-kans-vroegtijdig-overlijden,2019-12-02
https://nieuwscheckers.nl/dit-is-geen-uitgelekt-document-van-het-ministerie-van-economische-zaken-en-klimaat,2022-09-27
https://gadmo.eu/artikel-ber-vermeintliche-verhaftung-von-klaus-schwab-ist-satire/,2024-04-23
https://cedmohub.eu/sk/ruska-agresia-na-ukrajine-nie-je-v-sulade-s-chartou-osn/,2022-07-18
https://gadmo.eu/foto-von-taylor-swift-in-anti-trump-shirt-ist-geflscht/,2024-02-08
https://www.lakmusz.hu/egyetlen-szuloi-bemondasra-epiti-az-atv-riportja-hogy-tavoktatasra-keszulnek-iskolak-a-teli-futesi-szezonban/?lang=hu,2022-08-16
https://cedmohub.eu/pl/midzynarodowa-stacja-kosmiczna-iss-nagraa-flot-ufo-to-kutry-rybackie-w-argentynie/,2022-06-24
https://gadmo.eu/das-enten-gewinnspiel-stammt-nicht-von-kaufland/,2023-03-02
https://www.thejournal.ie/dublin-phone-shop-attack-refugee-cct-footage-phoenx-arizona-6109201-Jul2023/,2023-07-04
https://belux.edmo.eu/de/himalaya-gletscher-sind-vom-klimawandel-betroffen/,2024-01-15
https://defacto-observatoire.fr/Medias/Les-Surligneurs/Fact-checks/Volodymyr-Zelensky-appelle-a-une-integration-sans-delai-de-l-Ukraine-via-une-nouvelle-procedure-speciale-dans-l-Union-europeenne/,2022-03-16
https://www.knack.be/factcheck/factcheck-ja-een-insect-kan-een-vliegtuig-saboteren,2020-05-12
https://nieuwscheckers.nl/dom-en-druk-door-drop,2010-04-22
https://defacto-observatoire.fr/Medias/Factuel/Fact-checks/Non-il-n-y-a-pas-eu-de-decision-d-attribuer-des-cheques-repas-en-Belgique-pour-les-jours-non-travailles/,2022-01-06
https://www.knack.be/factcheck/factcheck-videospelletjes-op-het-werk-kunnen-je-productiever-maken,2019-03-05
https://gadmo.eu/heute-ist-heute-fake-video-ber-kamala-harris-verbreitet/,2024-08-01
https://admohub.eu/hr/media/afp/factchecks/dostupni-znanstveni-podaci-ne-podrzavaju-cekanje-jednog-sata-prije-presijecanja-pupcane-vrpce/,2024-01-01
https://brodhub.eu/ro/media/factual/fals-vaccinurile-nu-scad-fertilitatea-iar-sarscov2-nu-este-o-bacterie/,2023-07-01
https://belux.edmo.eu/de/nein-ursula-von-der-leyen-hat-nicht-die-abschaffung-des-nrnberger-kodex-gefordert/,2022-02-11
https://brodhub.eu/ro/media/factual/context-lipsa-suedia-vrea-cash-ul-inapoi/,2024-04-16
https://belux.edmo.eu/fr/cette-vido-ne-prouve-pas-que-le-masque-peut-provoquer-une-grave-hypoxie-ou-une-intoxication-au-co2/,2022-02-10
https://www.vrt.be/vrtnws/nl/2020/03/03/check-hoeveel-vluchtelingen-en-migranten-zitten-er-nu-echt-aan,2020-03-03
https://nieuwscheckers.nl/onbewezen-luchtvochtigheid-sleutelfactor-verspreiding-coronavirus,2020-04-22
https://nieuwscheckers.nl/prima-de-buma-inderdaad-minder-agenten-dan-in-2012,2017-02-09
https://belux.edmo.eu/de/diese-gepanzerten-fahrzeuge-sind-teil-einer-bung-und-nicht-im-einsatz-gegen-bauern-proteste-in-den-niederlanden/,2022-07-26
